API,number,className
toString()Ljava/lang/String;,38,Lorg/activiti/engine/impl/util/json/JSONObject$Null
getBpmnElementType()Ljava/lang/Class;,1,Lorg/activiti/bpmn/converter/UserTaskXMLConverter
setProcessInstanceId(Ljava/lang/String;)V,341,Lorg/activiti/engine/delegate/event/impl/ActivitiEventImpl
getRevision()I,1,Lorg/activiti/engine/impl/persistence/entity/HistoricDetailVariableInstanceUpdateEntity
getPasswordBytes()[B,1,Lorg/activiti/engine/impl/persistence/entity/IdentityInfoEntity
setValue(Ljava/lang/Object;Lorg/activiti/engine/impl/variable/ValueFields;)V,1,Lorg/activiti/engine/impl/variable/CustomObjectType
setTaskId(Ljava/lang/String;)V,6,Lorg/activiti/engine/impl/persistence/entity/CommentEntity
getElementName()Ljava/lang/String;,3,Lorg/activiti/bpmn/converter/child/IOSpecificationParser
<clinit>()V,197,Ljava/util/concurrent/ThreadLocalRandom
setProcessDefId(Ljava/lang/String;)V,1,Lorg/activiti/engine/impl/persistence/entity/IdentityLinkEntity
setNumOfRetries(I)V,1,Lorg/activiti/engine/impl/interceptor/RetryInterceptor
getUserId()Ljava/lang/String;,1,Lorg/activiti/engine/impl/GroupQueryImpl
addPreMessageReceivedEventListener(Ljava/util/concurrent/Executor;Lorg/bitcoinj/core/listeners/PreMessageReceivedEventListener;)V,2,Lorg/bitcoinj/core/Peer
setVariableLocal(Ljava/lang/String;Ljava/lang/Object;Z)Ljava/lang/Object;,1,Lorg/activiti/engine/impl/el/NoExecutionVariableScope
setSubject(Lorg/apache/commons/mail/Email;Ljava/lang/String;)V,2,Lorg/activiti/engine/impl/bpmn/behavior/MailActivityBehavior
addNoOpServiceTaskById(Ljava/lang/String;)V,4,Lorg/activiti/engine/test/mock/ActivitiMockSupport
read(Ljava/io/InputStream;)Ljava/awt/image/BufferedImage;,1,Ljavax/imageio/ImageIO
getValue(Lorg/activiti/engine/impl/variable/ValueFields;)Ljava/lang/Object;,1,Lorg/activiti/engine/impl/variable/UUIDType
setRelayUntil(Ljava/util/Date;)V,1,Lorg/bitcoinj/core/AlertMessage
isCachable()Z,1,Lorg/activiti/engine/impl/variable/IntegerType
getId()Ljava/lang/String;,1,Lorg/activiti/engine/impl/webservice/WSOperation
valueOf([C)Ljava/lang/String;,4,Ljava/lang/String
getX()Ljava/lang/Double;,9,Lorg/activiti/engine/repository/DiagramNode
createVariableLocal(Ljava/lang/String;Ljava/lang/Object;)V,1,Lorg/activiti/engine/impl/el/NoExecutionVariableScope
getReasonCode()Lorg/bitcoinj/core/RejectMessage$RejectCode;,3,Lorg/bitcoinj/core/RejectMessage
activateProcessInstanceById(Ljava/lang/String;)V,1,Lorg/activiti/engine/impl/RuntimeServiceImpl
getAlgorithm()Ljava/lang/String;,1,Lcom/linecorp/armeria/internal/shaded/bouncycastle/pqc/jcajce/provider/xmss/BCXMSSMTPrivateKey
getProcessInstanceId()Ljava/lang/String;,1,Lorg/activiti/engine/delegate/event/impl/ActivitiEventImpl
emptyList()Ljava/util/List;,10,Ljava/util/Collections
getElementName()Ljava/lang/String;,3,Lorg/activiti/bpmn/converter/child/DataStateParser
receiveFromBlock(Lorg/bitcoinj/core/Transaction;Lorg/bitcoinj/core/StoredBlock;Lorg/bitcoinj/core/AbstractBlockChain$NewBlockType;I)V,1,Lorg/bitcoinj/core/listeners/AbstractBlockChainListener
sort([Ljava/lang/Object;IILjava/util/Comparator;)V,4,Ljava/util/Arrays
encode()[B,461,Lorg/bitcoinj/core/VarInt
setName(Lorg/activiti/engine/delegate/Expression;)V,1,Lorg/activiti/engine/impl/test/NoOpServiceTask
toString()Ljava/lang/String;,1,Ljava/util/AbstractCollection
isZero([I)Z,2,Lcom/linecorp/armeria/internal/shaded/bouncycastle/math/raw/Nat256
compareTo(Ljava/math/BigInteger;)I,20,Ljava/math/BigInteger
setWritable(Z)V,3,Lorg/activiti/engine/impl/form/FormPropertyHandler
getName()Ljava/lang/String;,1,Lorg/activiti/engine/impl/GroupQueryImpl
dummy()Lorg/bitcoinj/crypto/TransactionSignature;,8,Lorg/bitcoinj/crypto/TransactionSignature
reset()V,2,Lorg/activiti/engine/test/mock/ActivitiMockSupport
isAsync(Lorg/activiti/engine/impl/pvm/runtime/InterpretableExecution;)Z,1,Lorg/activiti/engine/impl/pvm/runtime/AtomicOperationActivityExecute
setBusinessKey(Ljava/lang/String;)V,1,Lorg/activiti/engine/impl/persistence/entity/ExecutionEntity
getErrorCode()Ljava/lang/String;,1,Lorg/activiti/engine/impl/bpmn/parser/ErrorEventDefinition
setExecutionId(Ljava/lang/String;)V,52,Lorg/activiti/engine/impl/persistence/entity/EventLogEntryEntity
isEmpty()Z,2469,Ljava/util/Vector
setCurrentTime(Ljava/util/Date;)V,1,Lorg/activiti/engine/test/ActivitiRule
addDataInputAssociation(Lorg/activiti/engine/impl/bpmn/data/AbstractDataAssociation;)V,1,Lorg/activiti/engine/impl/bpmn/behavior/CallActivityBehavior
containsValue(Ljava/lang/Object;)Z,1,Lorg/activiti/engine/impl/cfg/SpringBeanFactoryProxyMap
isParseRetainMode()Z,82,Lorg/bitcoinj/core/DummySerializer
run()V,34,Lorg/bitcoinj/utils/Threading$UserThread
getNumOfRetries()I,1,Lorg/activiti/engine/impl/interceptor/RetryInterceptor
getNetworkParameters()Lorg/bitcoinj/core/NetworkParameters;,1,Lorg/bitcoinj/protocols/channels/StoredPaymentChannelClientStates
keySet()Ljava/util/Set;,123,Ljava/util/HashMap
getResourceAsStream(Ljava/lang/String;)Ljava/io/InputStream;,5,Ljava/lang/Class
<clinit>()V,23,Ljava/text/AttributedCharacterIterator$Attribute
<clinit>()V,2,Ljava/net/URI
superProcessInstanceId(Ljava/lang/String;)Lorg/activiti/engine/history/HistoricProcessInstanceQuery;,2,Lorg/activiti/engine/impl/HistoricProcessInstanceQueryImpl
id(Ljava/lang/String;)Lorg/activiti/engine/impl/HistoricDetailQueryImpl;,2,Lorg/activiti/engine/impl/HistoricDetailQueryImpl
getTransaction()Ljavax/transaction/Transaction;,3,Lorg/activiti/engine/impl/cfg/jta/JtaTransactionContext
getElementName()Ljava/lang/String;,2,Lorg/activiti/bpmn/converter/child/TextAnnotationTextParser
size()I,10,Ljava/util/HashMap
toString()Ljava/lang/String;,8,Ljava/security/Permission
getUserId()Ljava/lang/String;,4,Lorg/activiti/engine/impl/persistence/entity/IdentityLinkEntity
getCurrentProcessorJobQueue()Ljava/util/List;,8,Lorg/activiti/engine/impl/jobexecutor/MultipleJobsExecutorContext
getParent()Lorg/activiti/engine/impl/pvm/process/ScopeImpl;,6,Lorg/activiti/engine/impl/pvm/process/ActivityImpl
wrap([B)Ljava/nio/ByteBuffer;,20,Ljava/nio/ByteBuffer
getLocation()Ljava/lang/String;,1,Lorg/activiti/engine/impl/webservice/WSService
isFunctionBound(I)Z,3,Lorg/activiti/engine/impl/juel/Bindings
